YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
1996,3,24,4.55,3.21,3.88,5.17,4.02,6.53,2.52
1996,3,25,5.35,2.51,3.94,5.37,7.81,10.11,2.3
1996,3,26,2.44,-0.18,1.13,2.9,3.77,4.14,0.37
1996,3,27,1.65,-4.13,-1.24,2.23,6.73,5.27,-1.45
1996,3,28,2.61,-0.37,1.12,2.63,5.16,5.15,-0.02
1996,3,29,3.41,0.61,2.01,3.36,5.66,5.96,0.3
1996,3,30,2.22,-1.98,0.12,2.51,5.78,5.16,-0.62
1996,3,31,1.9,-0.76,0.58,2.23,5.98,5.09,-0.88
1996,4,1,1.19,-4.71,-1.76,1.85,7.13,5.21,-1.92
1996,4,2,1.13,-2.33,-0.6,1.76,4.16,3.09,-1.08
1996,4,3,2.44,-1.36,0.54,3.18,8.15,6.9,-1.25
1996,4,4,4.53,-0.7,1.91,4.69,10.1,9.69,-0.41
1996,4,5,4.94,1.62,3.28,5.08,10.49,9.76,-0.73
1996,4,6,6.3,3.3,4.8,6.23,7.8,10.51,2.71
1996,4,7,6.37,4.05,5.21,6.29,7.78,11.38,3.6
1996,4,8,5.84,3.57,4.71,5.51,5.33,8.51,3.19
1996,4,9,7.13,6.04,6.58,6.4,8.58,11.19,2.62
1996,4,10,9.04,6.76,7.9,8.04,8.12,13.28,5.17
1996,4,11,6.71,5.15,5.93,6.65,8.03,9.44,1.4
1996,4,12,2.14,-3.38,-0.62,3.51,6.65,5.92,-0.74
1996,4,13,4.6,0.35,2.48,5.48,10.28,9.83,-0.45
1996,4,14,6.23,1.71,3.97,6.8,10.11,11.56,1.45
1996,4,15,8.17,0.94,4.55,6.9,12.62,13.52,0.9
1996,4,16,9.65,2.89,6.27,8.48,11.34,15.63,4.3
1996,4,17,9.77,3.91,6.84,9.09,11.84,16.02,4.19
1996,4,18,9.49,5.99,7.74,9.19,7.57,13.23,5.65
1996,4,19,11.33,7.16,9.24,9.94,7.42,14.87,7.45
1996,4,20,13.48,8.79,11.13,11.65,10.6,19.12,8.51
1996,4,21,14.26,8.68,11.47,12.58,10.86,19.57,8.71
1996,4,22,14.45,9.4,11.93,12.67,10.27,19.74,9.47
1996,4,23,12.75,8.18,10.46,11.78,8.7,16.19,7.49
1996,4,24,9.44,6.01,7.72,9.26,5.99,12.55,6.55
1996,4,25,9.3,5.76,7.53,9.51,6.17,12.65,6.48
1996,4,26,9.87,8.01,8.94,9.63,7.03,13.57,6.54
1996,4,27,11.33,8.09,9.71,11.19,10.64,17.19,6.55
1996,4,28,9.01,5.18,7.09,9.7,8.34,12.95,4.61
1996,4,29,7.01,1.52,4.27,7.97,6.16,10,3.83
1996,4,30,8.56,3.14,5.85,8.46,7.8,11.79,3.99
1996,5,1,11.02,5.21,8.12,10.12,10.2,15.83,5.62
1996,5,2,8.98,7.65,8.32,8.89,4.91,11.23,6.31
1996,5,3,7.65,5.9,6.78,8.32,3.03,9.33,6.31
1996,5,4,6.51,1.98,4.25,7.53,4.73,8.58,3.84
1996,5,5,6.77,0.77,3.77,7.22,6.44,9.61,3.17
1996,5,6,8.79,1.86,5.33,8.83,7.74,12.83,5.08
1996,5,7,8.55,3.22,5.88,9.26,8.78,13.41,4.63
1996,5,8,8.46,2.58,5.52,9.12,8.79,13.09,4.3
1996,5,9,8.34,3.25,5.8,8.87,5.89,11.4,5.51
1996,5,10,7.41,4.34,5.87,8.19,4.51,9.94,5.44
1996,5,11,8.4,5.26,6.83,9.3,6.71,11.26,4.55
1996,5,12,8.28,5.46,6.87,9.02,4.04,10.21,6.17
1996,5,13,8.36,5.48,6.91,9.25,3.04,10.13,7.1
1996,5,14,8.89,6.36,7.62,9.37,4.64,11.36,6.72
1996,5,15,7.92,4.25,6.08,8.65,6.91,11.3,4.39
1996,5,16,7.19,2.08,4.64,8.36,6.38,10.55,4.18
1996,5,17,7.65,5.7,6.68,8.81,5.76,10.64,4.88
1996,5,18,9.23,8.02,8.62,8.92,7.17,12.55,5.37
1996,5,19,11.46,7.67,9.56,10.69,5.02,13.73,8.71
1996,5,20,10.14,4.51,7.33,10.19,7.46,13.75,6.29
1996,5,21,10.21,6.33,8.26,10.33,8.58,14.27,5.69
1996,5,22,10.61,7.78,9.19,10.65,7.32,13.8,6.48
1996,5,23,11.84,9.6,10.73,11.59,5.14,14.59,9.45
1996,5,24,12.7,10.37,11.54,11.97,2.52,14.17,11.65
1996,5,25,12.25,8.7,10.48,12.37,5.52,15.4,9.87
1996,5,26,12.2,8.97,10.58,12.29,6.65,15.31,8.66
1996,5,27,10.61,8.26,9.44,10.69,5.05,12.94,7.9
1996,5,28,10.51,4.94,7.72,11.32,4.88,12.56,7.69
1996,5,29,14.05,10.97,12.51,13.9,6.38,17.08,10.69
1996,5,30,17.07,12.99,15.03,15.98,11.57,22.33,10.76
1996,5,31,14.84,10.33,12.59,14.7,6.93,16.96,10.03
1996,6,1,12.48,8.04,10.26,12.78,5.97,15.23,9.26
1996,6,2,12.6,7.81,10.21,12.84,9.04,16.86,7.82
1996,6,3,14.19,8.23,11.21,14.22,7.82,18.01,10.19
1996,6,4,14.26,10.4,12.33,14.18,7.26,18.07,10.81
1996,6,5,18.4,12.8,15.6,16.96,14.12,24.5,10.37
1996,6,6,20.12,13.91,17.01,18.48,12.21,25.79,13.58
1996,6,7,22.67,16.16,19.41,20.12,13.64,28.36,14.72
1996,6,8,19.02,15.51,17.26,18.51,9.19,23.39,14.21
1996,6,9,15.21,12.16,13.69,15.51,5.12,17.43,12.3
1996,6,10,18.33,13.1,15.72,17.48,12.92,23.96,11.04
1996,6,11,17.82,13.49,15.65,17.65,7.22,21.4,14.18
1996,6,12,14.37,9.12,11.74,14.92,6.41,16.44,10.03
1996,6,13,13.28,8.19,10.73,14.08,7.3,16.73,9.42
1996,6,14,12.55,7.61,10.08,13.93,6.63,15.53,8.9
1996,6,15,13.61,8.76,11.19,14.48,8.46,17.62,9.16
1996,6,16,14.29,10.47,12.38,15.01,7.55,17.8,10.25
1996,6,17,15.37,10.48,12.93,15.55,11.38,20.55,9.16
1996,6,18,13.92,9.54,11.73,14.8,5.73,17.01,11.28
1996,6,19,12.08,8.86,10.47,12.95,4.56,13.89,9.33
1996,6,20,11.1,6.74,8.92,12.4,4.44,12.84,8.4
1996,6,21,11.62,7.02,9.33,12.82,3.87,13.49,9.62
1996,6,22,11.8,8.69,10.24,12.74,3.41,13.73,10.32
1996,6,23,11.75,8.28,10.01,12.77,3.23,13.56,10.33
1996,6,24,12.31,9.32,10.81,13.1,2.66,13.69,11.04
1996,6,25,12.23,9.37,10.8,13.26,2.77,13.76,10.99
1996,6,26,14.76,10.75,12.76,15.47,8.48,19.08,10.6
1996,6,27,14.2,10.28,12.24,14.96,6.16,17.23,11.07
1996,6,28,14.91,11.05,12.98,15.09,7.95,18.53,10.58
1996,6,29,13.55,10.7,12.12,14.26,2.3,14.62,12.31
1996,6,30,14.25,11.7,12.98,14.54,3.27,15.8,12.54
1996,7,1,14.17,10.18,12.18,14.63,3.67,15.94,12.26
1996,7,2,13.54,9.9,11.72,14.06,3.83,15.41,11.58
1996,7,3,15.75,11.7,13.73,15.44,8.19,19.46,11.27
1996,7,4,15.58,11.11,13.34,15.79,4.14,17.71,13.56
1996,7,5,14.73,11.12,12.92,15.13,5.69,17.82,12.13
1996,7,6,12.8,9.87,11.34,13.47,3.41,14.23,10.82
1996,7,7,14,9.83,11.91,14.67,7.39,17.38,9.99
1996,7,8,13.11,8.83,10.97,14.07,4.93,15.3,10.37
1996,7,9,14.33,10.78,12.55,15.02,7.36,17.38,10.02
1996,7,10,14.75,11.51,13.13,15.38,4.13,16.87,12.73
1996,7,11,16.82,14.08,15.45,17.07,8.99,20.91,11.92
1996,7,12,16.98,14.4,15.69,17.08,6.32,19.89,13.58
1996,7,13,16.93,13.97,15.45,16.87,6.12,19.93,13.8
1996,7,14,16.9,14.63,15.76,17.14,7.7,20.26,12.55
1996,7,15,14.95,10.08,12.51,15.85,7.03,18.28,11.25
1996,7,16,14.47,9.43,11.95,15.55,4.66,17.08,12.42
1996,7,17,14.58,9.98,12.28,15.47,7.23,18.01,10.77
1996,7,18,14.19,10.15,12.17,15.47,6.06,16.83,10.76
1996,7,19,16.3,10.73,13.51,16.85,7.95,20.14,12.19
1996,7,20,18,10.87,14.44,17.99,10.67,22.78,12.1
1996,7,21,19.3,10.7,15,18.9,12.04,24.52,12.48
1996,7,22,20.95,11.77,16.36,19.98,11.96,26.65,14.69
1996,7,23,19.54,13.47,16.5,19.05,10.73,25.34,14.62
1996,7,24,16.09,14.05,15.07,16.49,3.74,18.19,14.45
1996,7,25,16.24,13.64,14.94,16.99,6.73,19.5,12.76
1996,7,26,17.32,12.69,15.01,17.51,9.42,21.61,12.19
1996,7,27,15.83,12.71,14.27,15.75,5.82,18.13,12.31
1996,7,28,16.56,10.89,13.73,16.83,8.16,20.1,11.94
1996,7,29,17.51,13.68,15.59,17.45,6.14,20.37,14.23
1996,7,30,17.4,14.78,16.09,17.68,7.5,20.96,13.46
1996,7,31,17.4,14.65,16.03,17.43,3.83,19.57,15.75
1996,8,1,16.83,13.01,14.92,17.01,4.79,19.12,14.33
1996,8,2,16.29,12,14.15,16.96,6.77,19.4,12.62
1996,8,3,16.41,11.62,14.01,16.97,7.3,19.74,12.43
1996,8,4,17.11,12.01,14.56,17.86,10.58,21.68,11.1
1996,8,5,18.12,10.88,14.5,18.36,10.49,22.8,12.3
1996,8,6,18.05,12.83,15.44,17.88,7.85,21.53,13.69
1996,8,7,15.8,12.49,14.15,16.4,6.51,19.15,12.65
1996,8,8,16.98,11.65,14.32,16.91,9.2,21.68,12.48
1996,8,9,19.39,13.05,16.22,18.6,11.26,25.62,14.35
1996,8,10,19.12,14.55,16.83,18.51,5,22.19,17.19
1996,8,11,18.21,14.8,16.51,18.15,6.52,21.66,15.15
1996,8,12,17.94,15.63,16.79,17.61,6.77,20.96,14.19
1996,8,13,18.96,16.39,17.67,18.76,5.61,22.05,16.44
1996,8,14,18.05,15.66,16.86,18.19,5.62,20.84,15.22
1996,8,15,17.46,15.05,16.26,17.71,6.16,20.56,14.4
1996,8,16,17.03,13.82,15.43,17.5,5.99,19.85,13.86
1996,8,17,17.8,13.81,15.8,18.44,9.33,22.33,13.01
1996,8,18,19.23,14.8,17.01,19.28,11.08,24.25,13.17
1996,8,19,20.84,14.73,17.79,20.38,10.95,25.89,14.93
1996,8,20,21.83,14.8,18.32,21.2,11.61,27.22,15.61
1996,8,21,19.19,16.8,17.99,19.23,5.11,21.52,16.41
1996,8,22,18.59,13.74,16.17,18.65,8.41,22.79,14.37
1996,8,23,18.63,13.9,16.27,18.53,8.84,23.68,14.84
1996,8,24,16.63,12.96,14.8,17.22,6.67,20.3,13.62
1996,8,25,16.21,12.88,14.55,16.73,5.99,19.62,13.62
1996,8,26,16.04,11.69,13.87,16.23,7.05,19.48,12.43
1996,8,27,16.24,12.41,14.33,16.38,7.88,19.85,11.98
1996,8,28,15.91,14.83,15.37,15.83,3.47,17.65,14.17
1996,8,29,15.69,13.32,14.51,16.23,4.42,17.58,13.15
1996,8,30,15.97,12.98,14.48,16.32,4.23,18.52,14.3
1996,8,31,14.23,10.12,12.18,14.98,4.88,16.37,11.5
1996,9,1,14.31,10.96,12.63,14.8,6,17.01,11.02
1996,9,2,15.58,10.48,13.03,15.69,6.68,19.19,12.51
1996,9,3,15.36,11.45,13.4,15.88,8.45,19.41,10.97
1996,9,4,15.33,12.28,13.8,15.87,5.04,17.62,12.59
1996,9,5,15.47,11.28,13.37,15.76,7.52,19.55,12.02
1996,9,6,14.72,10.89,12.8,15.37,6.71,18.12,11.4
1996,9,7,14.15,8.36,11.26,15.07,6.73,17.61,10.87
1996,9,8,13.89,9.49,11.69,14.67,4.56,16.5,11.93
1996,9,9,14.76,11.96,13.36,15.18,6.98,18.44,11.47
1996,9,10,14.24,10.94,12.59,14.62,3.93,16.4,12.48
1996,9,11,13.41,9.76,11.58,14.26,2.61,15.04,12.43
1996,9,12,13.56,8.99,11.28,14.19,3.5,15.4,11.9
1996,9,13,13.52,9.35,11.44,14.03,3.02,15.11,12.08
1996,9,14,13.53,10.65,12.09,14.15,3.58,15.59,12.01
1996,9,15,13.58,10.35,11.96,13.88,5.35,16.8,11.45
1996,9,16,12.92,9.15,11.04,13.48,8.33,17.36,9.02
1996,9,17,12.16,7.41,9.79,13.11,8.02,16.33,8.31
1996,9,18,12.12,7.27,9.69,13.14,6.6,15.77,9.17
1996,9,19,12,7.59,9.8,12.97,8.01,16.26,8.26
1996,9,20,11.53,6.99,9.26,12.56,8.71,16.23,7.51
1996,9,21,10.88,6.44,8.66,11.95,6.12,14.46,8.33
1996,9,22,10.57,8.51,9.54,11.4,2.97,11.69,8.72
1996,9,23,11.35,8.81,10.08,12.14,6.47,15.3,8.83
1996,9,24,11.29,7.56,9.43,11.49,7.64,15.25,7.62
1996,9,25,12.59,8.97,10.78,12,9,16.94,7.94
1996,9,26,14.24,10.8,12.52,13.9,8.91,18.48,9.57
1996,9,27,14.16,11.94,13.05,14.05,5.43,17.12,11.69
1996,9,28,13.91,11.45,12.68,13.76,5.2,16.71,11.51
1996,9,29,14.92,13.56,14.24,14.7,5.23,17.45,12.23
1996,9,30,14.45,11.92,13.19,14.42,5.37,16.58,11.21
1996,10,1,11.28,8.86,10.07,12.04,4.45,13.6,9.15
1996,10,2,11.33,8.32,9.83,11.48,6.14,14.99,8.86
1996,10,3,13.15,10.55,11.85,13.18,6.56,16.09,9.53
1996,10,4,12.25,7.84,10.05,12.65,4.16,13.98,9.82
1996,10,5,10.88,8.33,9.61,11.54,3.77,12.8,9.03
1996,10,6,11.22,8.35,9.79,11.75,5.57,14.3,8.73
1996,10,7,11.39,7.99,9.69,11.56,7.7,15.78,8.08
1996,10,8,12.43,10.76,11.59,12.48,6,15.49,9.49
1996,10,9,12.62,11.6,12.11,12.69,3.59,14.7,11.11
1996,10,10,11.51,7.94,9.73,11.33,6.14,14.82,8.68
1996,10,11,11.51,9.61,10.56,12.05,7.11,15.55,8.44
1996,10,12,11.42,9.25,10.33,12.06,5.98,15.06,9.08
1996,10,13,12.19,9.76,10.98,12.54,9.13,17.58,8.45
1996,10,14,13.64,9.92,11.78,13.53,10.04,19.64,9.6
1996,10,15,12.13,10.58,11.36,12.26,5.43,15.19,9.76
1996,10,16,10.6,8.13,9.37,10.64,4.94,12.98,8.05
1996,10,17,9.75,7.68,8.72,9.93,6.52,13.64,7.12
1996,10,18,10.08,7.57,8.83,10.83,7.43,13.85,6.42
1996,10,19,12.01,9.2,10.6,12.05,4.93,14.68,9.75
1996,10,20,12.97,12.3,12.63,12.73,3.77,14.59,10.83
1996,10,21,13.13,11.02,12.08,12.8,5.11,14.77,9.66
1996,10,22,11.19,8.53,9.86,10.81,6.46,14.45,8
1996,10,23,9.32,6.59,7.95,10.02,8.31,14.31,6
1996,10,24,9,5.7,7.35,10.05,8.13,13.69,5.55
1996,10,25,10.51,8.83,9.67,11.07,8.29,15.19,6.9
1996,10,26,10.77,8.48,9.62,11.01,5.01,13.8,8.78
1996,10,27,11.31,10.36,10.83,11.48,7.12,14.76,7.64
1996,10,28,13.35,10.85,12.1,12.95,2.52,14.58,12.07
1996,10,29,11.42,7.76,9.58,11.56,2.66,12.49,9.83
1996,10,30,10.51,6.63,8.57,10.65,2.26,11.66,9.4
1996,10,31,10.05,8.36,9.21,10.4,3.84,12.6,8.76
1996,11,1,11.73,9.76,10.75,11.5,2.68,12.97,10.29
1996,11,2,13.54,12.58,13.06,13.01,3.2,14.95,11.75
1996,11,3,13.87,12.72,13.29,13.24,2.09,14.71,12.62
1996,11,4,12.4,11.32,11.86,12.08,1.89,13.04,11.15
1996,11,5,10.54,7.44,8.99,10.58,1.69,11.09,9.4
1996,11,6,11.8,7.33,9.57,11.66,5.7,13.78,8.07
1996,11,7,8.92,6.73,7.82,9.62,5.59,11.69,6.09
1996,11,8,7.23,3.5,5.37,7.64,4.21,9.53,5.32
1996,11,9,8.77,5.58,7.18,9.06,3.67,10.52,6.85
1996,11,10,6.63,5.36,6,7.51,3.36,7.83,4.48
1996,11,11,7.59,6.6,7.1,8.46,3,9.08,6.09
1996,11,12,8.12,7.4,7.76,8.73,2.12,9.21,7.08
1996,11,13,7.22,3.99,5.61,7.53,2.59,8.8,6.21
1996,11,14,5.27,2.9,4.09,5.57,7.67,8.66,0.98
1996,11,15,1.62,-0.14,0.73,2.95,5.83,5.58,-0.24
1996,11,16,2.12,0.6,1.36,3.22,5.07,5.39,0.33
1996,11,17,2.7,2.26,2.48,4.44,3.41,3.89,0.48
1996,11,18,5.31,4.44,4.88,6.15,3.18,6.73,3.55
1996,11,19,3.59,1.94,2.76,4.58,3.77,5.18,1.42
1996,11,20,5.23,3.94,4.58,5.99,2.83,6.51,3.69
1996,11,21,5.53,2.88,4.21,5.87,1.62,6.44,4.82
1996,11,22,5.65,3.31,4.48,5.97,4.57,7.96,3.39
1996,11,23,3.52,1.33,2.43,4.37,2.14,4.89,2.75
1996,11,24,3.62,2.37,2.99,4.37,4.55,6.37,1.83
1996,11,25,4.76,4.09,4.42,5.53,5.5,7.28,1.78
1996,11,26,4.65,2.96,3.8,5.05,4.84,7.01,2.16
1996,11,27,1.69,0.31,1,2.4,3.98,4.15,0.16
1996,11,28,2.34,0.69,1.51,2.42,4.08,5.05,0.97
1996,11,29,4.21,2.9,3.55,4.45,6.02,6.97,0.95
1996,11,30,5.26,3.65,4.45,5.12,3.68,6.51,2.83
1996,12,1,4.62,2.69,3.65,4.37,7.16,8.52,1.37
1996,12,2,7.15,4.46,5.81,6.98,1.16,7.75,6.59
1996,12,3,6.26,4.88,5.57,6.37,5.02,8.68,3.66
1996,12,4,6.46,4.6,5.53,6.36,3.31,8.05,4.74
1996,12,5,4.7,4.19,4.44,4.96,1.57,5.79,4.22
1996,12,6,4.4,3.9,4.15,4.52,3.23,6.59,3.37
1996,12,7,3.98,3.62,3.8,4.77,4.06,5.67,1.61
1996,12,8,1.14,0.65,0.9,2.79,4.18,3.88,-0.3
1996,12,9,-0.99,-2.04,-1.52,1.51,1.62,-0.05,-1.67
1996,12,10,-0.28,-1.6,-0.94,1.9,1.76,0.76,-1
1996,12,11,-0.88,-2.27,-1.58,1.65,1.12,-0.17,-1.3
1996,12,12,-0.74,-2.18,-1.45,1.5,1.8,0.24,-1.56
1996,12,13,2.34,0.58,1.46,2.35,4.05,4.45,0.4
1996,12,14,3.14,0.18,1.66,2.79,3.35,4.86,1.51
1996,12,15,6.19,5.68,5.93,5.21,3.52,8.21,4.69
1996,12,16,3.33,3.21,3.27,3.48,3.12,4.82,1.69
1996,12,17,3.02,2.18,2.6,3.85,4.46,5.75,1.3
1996,12,18,3.73,3.33,3.53,4.16,4.49,5.82,1.33
1996,12,19,2.34,1.83,2.08,3.47,3.67,4.97,1.3
1996,12,20,-0.89,-2.9,-1.89,1.03,4.56,1.18,-3.38
1996,12,21,-3.5,-5.74,-4.62,-0.93,3.29,-1.4,-4.69
1996,12,22,-2.66,-5.86,-4.26,-0.81,4.96,0.61,-4.35
1996,12,23,-2.99,-4.99,-3.99,-1.16,3.89,-0.76,-4.65
1996,12,24,-3.89,-4.81,-4.35,-2.12,3.31,-1.9,-5.21
1996,12,25,-2.08,-4.06,-3.06,-1.4,5.2,0.44,-4.77
1996,12,26,-4.36,-5.61,-4.99,-2.58,4.41,-2.13,-6.54
1996,12,27,-3.84,-6.5,-5.17,-1.82,3.04,-3,-6.04
1996,12,28,-6.53,-9.67,-8.1,-4.35,3.62,-4.31,-7.94
1996,12,29,-0.36,-2.27,-1.31,-0.18,11.68,3.89,-7.79
1996,12,30,-0.73,-2.54,-1.63,0.04,5.75,0.47,-5.28
1996,12,31,-8.28,-10.32,-9.31,-5.27,3.67,-5.81,-9.48
1997,1,1,-10.45,-11.18,-10.81,-7.24,3.43,-8.65,-12.08
1997,1,2,-10.84,-11.4,-11.12,-7.9,5.75,-7.4,-13.15
1997,1,3,-8.35,-9.31,-8.84,-5.52,6.12,-5.81,-11.93
1997,1,4,-5.02,-6.71,-5.87,-3.11,2.06,-3.99,-6.06
1997,1,5,-5.67,-6.23,-5.95,-4.28,5.09,-3.4,-8.49
1997,1,6,-8.04,-8.62,-8.33,-5.62,4.02,-5.69,-9.7
