Perioden;Totaal alle overledenen;Nieuwvormingen|Totaal nieuwvormingen;Nieuwvormingen|Kwaadaardige nv. van luchtpijp en long;Nieuwvormingen|Kwaadaardige nieuwvorming van borst;Nieuwvormingen|Overige nieuwvormingen;Psychische stoornis. en zktn zenuwstel;Ziekten van hart en vaatstelsel|Totaal ziekten van hart en vaatstelsel;Ziekten van hart en vaatstelsel|Acuut hartinfarct;Ziekten van hart en vaatstelsel|Hersenvaatletsels;Ziekten van hart en vaatstelsel|Overige ziekten van hart en vaatstelsel;Ziekten van de ademhalingsorganen;Overige doodsoorzaken
2011 4e kwartaal;35295;11329;2757;827;7745;3329;10026;1688;2200;6138;3465;7146
2012 1e kwartaal;37800;11144;2708;785;7651;3770;10636;1735;2346;6555;4584;7666
2012 2e kwartaal;34540;11135;2555;789;7791;3292;9473;1507;2096;5870;3577;7063
2012 3e kwartaal;32614;10923;2470;798;7655;3466;8468;1333;1931;5204;2653;7104
2012 4e kwartaal;35859;11459;2589;858;8012;3643;9794;1620;2099;6075;3663;7300
2013 1e kwartaal;39866;11194;2586;854;7754;4957;11230;1719;2634;6877;4601;7884
2013 2e kwartaal;34609;10854;2562;775;7517;4197;9318;1346;2320;5652;2959;7281
2013 3e kwartaal;32375;10988;2532;783;7673;3955;8406;1214;2073;5119;2144;6882
2013 4e kwartaal;34395;11120;2597;770;7753;4079;9509;1411;2373;5725;2565;7122
2014 1e kwartaal;35348;10975;2511;730;7734;4161;9963;1422;2415;6126;2993;7256
2014 2e kwartaal;33221;10744;2455;715;7574;3995;8918;1256;2207;5455;2493;7071
2014 3e kwartaal;33892;11520;2711;785;8024;4335;8670;1156;2232;5282;2201;7166
2014 4e kwartaal;36762;11569;2680;815;8074;4551;10311;1474;2482;6355;2767;7564
2015 1e kwartaal;41811;11464;2633;795;8036;5525;11458;1572;2663;7223;4868;8496
2015 2e kwartaal;35144;11224;2571;850;7803;4400;9532;1307;2359;5866;2789;7199
2015 3e kwartaal;34014;11544;2614;840;8090;4409;8638;1179;2229;5230;2251;7172
2015 4e kwartaal;36165;11558;2614;817;8127;4675;9751;1350;2384;6017;2773;7408
2016 1e kwartaal;40393;11916;2711;813;8392;5448;10767;1410;2581;6776;4026;8236
2016 2e kwartaal;35688;11515;2631;802;8082;4799;9330;1229;2391;5710;2695;7349
2016 3e kwartaal;34384;11605;2579;757;8269;4732;8593;1153;2160;5280;2230;7224
2016 4e kwartaal;38532;11940;2770;803;8367;5370;9957;1283;2375;6299;3033;8232
2017 1e kwartaal;42493;11658;2623;788;8247;6094;10985;1386;2585;7014;5073;8683
2017 2e kwartaal;35528;11504;2554;779;8171;4839;9064;1178;2225;5661;2695;7426
2017 3e kwartaal;34318;11716;2599;756;8361;4756;8278;1111;2044;5123;2192;7376
2017 4e kwartaal;37875;11678;2620;810;8248;5339;9826;1272;2345;6209;3005;8027
2018 1e kwartaal;45643;12037;2711;841;8485;6849;11275;1496;2649;7130;6150;9332
2018 2e kwartaal;35215;11393;2481;755;8157;4774;8737;1128;2141;5468;2789;7522
2018 3e kwartaal;35005;11428;2510;758;8160;5277;8231;1130;2079;5022;2260;7809
2018 4e kwartaal;37500;11799;2672;734;8393;5090;9552;1371;2335;5846;2845;8214
Bron: CBS;;;;;;;;;;;;
