YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN
1996,3,25,5.73,3.08,4.4,5.42,7.25,10.19,2.94
1996,3,26,2.9,0.51,1.7,3.19,4.26,4.42,0.16
1996,3,27,1.76,-4.27,-1.25,2.32,6.86,5.51,-1.35
1996,3,28,2.76,-0.63,1.06,2.76,4.97,5.19,0.23
1996,3,29,3.5,0.96,2.23,3.34,5.09,5.9,0.82
1996,3,30,2.73,-1.47,0.63,2.89,4.88,5.23,0.34
1996,3,31,2.33,-0.13,1.1,2.75,4.56,4.72,0.15
1996,4,1,1.47,-3.83,-1.18,2.44,6.96,5.32,-1.63
1996,4,2,1.63,-2.15,-0.26,2.4,4.62,3.9,-0.72
1996,4,3,2.86,-1.55,0.65,3.55,7.58,7,-0.58
1996,4,4,4.51,-0.75,1.88,4.64,9.77,9.49,-0.27
1996,4,5,4.99,1.7,3.34,5.04,9.69,9.65,-0.03
1996,4,6,6.18,3.15,4.66,6.07,8.38,10.62,2.24
1996,4,7,6.19,4.11,5.15,5.89,5.66,9.34,3.69
1996,4,8,6.36,4.26,5.31,5.86,5.6,9.48,3.87
1996,4,9,7.48,6.23,6.85,6.58,7.56,11.22,3.65
1996,4,10,9.21,6.28,7.74,8.26,8.25,13.55,5.31
1996,4,11,7.33,5.82,6.57,7.22,6.48,9.56,3.08
1996,4,12,3,-2.95,0.02,4.08,6.23,6.48,0.26
1996,4,13,4.82,0.33,2.58,5.69,10.29,9.9,-0.39
1996,4,14,6.65,1.95,4.3,6.93,10.04,11.73,1.7
1996,4,15,8.63,1.11,4.87,7.25,11.17,13.48,2.3
1996,4,16,9.8,2.98,6.39,8.61,10.68,15.32,4.64
1996,4,17,9.3,4.48,6.89,8.75,10.2,14.59,4.39
1996,4,18,9.44,6.12,7.79,9.11,7.34,13.23,5.9
1996,4,19,11.8,7.02,9.41,10.27,7.91,15.37,7.45
1996,4,20,13.3,8.44,10.87,11.53,9.39,18.35,8.95
1996,4,21,14.01,8.36,11.18,12.4,9.82,18.89,9.07
1996,4,22,14.26,9.36,11.81,12.54,9.3,19.33,10.03
1996,4,23,12.55,8.16,10.36,11.64,7.64,15.26,7.62
1996,4,24,9.35,6.37,7.86,9.23,5.53,12.06,6.53
1996,4,25,9.33,5.96,7.64,9.58,5.59,12.53,6.94
1996,4,26,10.23,7.91,9.07,9.99,6.63,13.44,6.8
1996,4,27,11.75,8.23,9.99,11.47,9.52,16.9,7.38
1996,4,28,9.44,6.01,7.73,10.05,7.3,12.63,5.33
1996,4,29,7.15,1.9,4.53,8.52,5.64,9.91,4.27
1996,4,30,9.01,3.08,6.05,8.97,7.45,12.12,4.68
1996,5,1,10.55,5.65,8.1,9.86,7.96,14.51,6.55
1996,5,2,9.29,7.46,8.37,9.55,5.34,12.1,6.76
1996,5,3,7.97,6.07,7.02,8.71,3.36,9.87,6.52
1996,5,4,6.58,2.18,4.37,7.71,4.62,8.52,3.9
1996,5,5,6.82,0.43,3.62,7.64,6.65,9.92,3.28
1996,5,6,8.19,1.72,4.95,8.69,8.62,12.37,3.76
1996,5,7,9.19,3.55,6.37,9.67,9.59,14.17,4.58
1996,5,8,8.8,3.01,5.9,9.47,8.37,13.31,4.94
1996,5,9,8.48,3.17,5.83,9.08,5.57,11.33,5.76
1996,5,10,7.37,3.74,5.55,8.34,4.38,9.88,5.5
1996,5,11,8.8,4.91,6.86,9.54,6.55,11.59,5.04
1996,5,12,8.68,5.39,7.03,9.51,3.87,10.8,6.94
1996,5,13,8.29,5.2,6.75,9.28,3.59,10,6.4
1996,5,14,9.19,6.43,7.8,9.78,4.36,11.71,7.35
1996,5,15,8.51,4.6,6.56,9.36,7.18,11.87,4.69
1996,5,16,7.73,2.6,5.17,8.94,6.97,11.15,4.18
1996,5,17,8.36,6.05,7.21,9.85,4.88,10.97,6.08
1996,5,18,9.92,8.5,9.21,9.91,7.1,13.76,6.66
1996,5,19,11.13,7.64,9.38,10.77,5.94,13.96,8.03
1996,5,20,10.39,4.85,7.62,10.66,7.61,13.96,6.35
1996,5,21,10.2,6.78,8.49,10.27,7.04,13.82,6.78
1996,5,22,10.66,7.87,9.27,10.77,6.54,13.82,7.28
1996,5,23,12.14,9.79,10.97,12,4.62,14.55,9.93
1996,5,24,12.99,10.56,11.78,12.33,2.75,14.64,11.89
1996,5,25,12.19,9.17,10.68,12.2,4.2,14.23,10.03
1996,5,26,12.2,9.25,10.73,12.26,6.26,15.25,8.99
1996,5,27,10.87,8.54,9.7,11.11,5.37,13.15,7.79
1996,5,28,10.76,5.17,7.96,11.63,5.78,12.88,7.1
1996,5,29,14.44,10.98,12.71,14.27,6.72,17.69,10.98
1996,5,30,17.32,12.53,14.92,16.11,11.34,22.14,10.8
1996,5,31,14.73,10.06,12.4,14.73,6.48,16.87,10.39
1996,6,1,12.66,7.9,10.28,13.06,5.95,15.46,9.51
1996,6,2,12.62,8.03,10.32,13.19,7.91,16.41,8.49
1996,6,3,14.12,8.31,11.22,14.4,7.41,17.67,10.26
1996,6,4,14.49,10.69,12.58,14.62,6.78,18.21,11.43
1996,6,5,19.21,12.18,15.69,17.48,13.95,25.4,11.46
1996,6,6,20.43,13.23,16.83,18.85,11.35,25.69,14.33
1996,6,7,22.87,15.98,19.42,20.51,11.82,28.2,16.38
1996,6,8,18.55,15.12,16.83,18.45,8.55,22.55,14.01
1996,6,9,15.33,11.69,13.51,15.9,4.27,17.4,13.12
1996,6,10,18.4,13.21,15.8,18.02,11.8,24.05,12.26
1996,6,11,18.04,13.51,15.77,18.17,7.55,21.78,14.23
1996,6,12,14.69,8.98,11.83,15.41,5.34,16.44,11.09
1996,6,13,13.55,7.89,10.72,14.57,6.89,16.89,10
1996,6,14,12.95,7.42,10.19,14.52,7.18,16.2,9.01
1996,6,15,14.19,8.17,11.18,15.33,10.04,18.78,8.74
1996,6,16,15.08,9.91,12.49,16.01,8.31,18.88,10.57
1996,6,17,16.22,10.62,13.42,16.65,10.82,21.1,10.28
1996,6,18,14.38,9.92,12.15,15.4,5.88,17.19,11.32
1996,6,19,12.55,8.74,10.65,13.9,3.91,14.37,10.47
1996,6,20,11.99,6.9,9.44,14.03,4.8,14.4,9.6
1996,6,21,11.74,6.7,9.23,13.66,4.79,13.8,9.01
1996,6,22,12.15,8.45,10.3,13.48,2.92,13.79,10.87
1996,6,23,12.05,8.17,10.12,13.47,3.85,14.14,10.29
1996,6,24,12.42,9.33,10.87,13.39,2.59,13.58,10.99
1996,6,25,12.65,9.48,11.06,13.96,3.22,14.38,11.16
1996,6,26,15.42,10.79,13.11,16.47,8.94,19.61,10.68
1996,6,27,15.6,11.04,13.32,16.61,5.43,18.55,13.12
1996,6,28,15.8,11.62,13.71,16.34,5.91,18.73,12.83
1996,6,29,13.82,10.81,12.31,14.8,2.12,15,12.87
1996,6,30,14.69,11.73,13.21,15.14,4.22,16.74,12.52
1996,7,1,14.51,10.38,12.45,15.12,3.88,16.39,12.51
1996,7,2,14.16,9.95,12.05,14.79,4.73,16.49,11.76
1996,7,3,15.98,11.75,13.87,15.9,8.43,20.08,11.66
1996,7,4,15.7,11.03,13.37,15.99,4.61,18.04,13.43
1996,7,5,14.67,11.02,12.85,15.19,5.49,17.58,12.08
1996,7,6,13.15,10.12,11.64,13.83,3.38,14.97,11.58
1996,7,7,14.32,9.38,11.85,15.23,7.16,17.64,10.49
1996,7,8,13.19,9.1,11.15,14.42,5.11,15.66,10.55
1996,7,9,14.62,11.26,12.94,15.41,6.57,17.22,10.65
1996,7,10,14.76,11.55,13.15,15.44,4.09,16.76,12.68
1996,7,11,17.43,14.09,15.76,17.75,8.83,21.52,12.69
1996,7,12,17.26,14.2,15.73,17.68,7.71,20.85,13.14
1996,7,13,17.3,13.78,15.54,17.5,6.16,20.44,14.27
1996,7,14,17.5,14.93,16.22,18.01,6.27,20.72,14.44
1996,7,15,15.9,10.18,13.04,16.9,6.66,19.27,12.61
1996,7,16,14.92,9.24,12.08,16.18,5.64,17.89,12.25
1996,7,17,15.4,9.48,12.44,16.41,7.8,19.34,11.53
1996,7,18,14.55,9.77,12.15,16.01,6.69,17.48,10.8
1996,7,19,16.43,10.15,13.29,17.52,8.05,20.33,12.27
1996,7,20,18.76,9.66,14.21,18.82,10.95,23.81,12.85
